episodio,recompensa,entregas,steps,taxa_sucesso,sucesso_completo,colisoes,falha_r1,falha_r2,distancia
602,11.941999999999975,0,500,0.0,0.0,130,58,38,582
603,90.42399999999893,3,500,0.375,0.0,127,38,39,365
604,119.70599999999907,4,500,0.5,0.0,386,30,55,281
605,86.43999999999834,3,500,0.375,0.0,378,43,67,299
606,87.0699999999986,3,500,0.375,0.0,298,23,55,288
607,-6.638000000000012,0,500,0.0,0.0,362,78,19,234
608,4.162000000000098,0,500,0.0,0.0,279,63,14,294
609,27.28200000000013,1,500,0.125,0.0,354,78,62,487
610,-0.6340000000000077,0,500,0.0,0.0,294,30,68,338
611,119.92399999999925,4,500,0.5,0.0,146,43,51,388
612,27.056000000000104,1,500,0.125,0.0,396,72,62,450
613,59.11999999999993,2,500,0.25,0.0,396,74,57,466
614,4.3679999999999914,0,500,0.0,0.0,222,55,9,257
615,-2.3220000000000063,0,500,0.0,0.0,378,48,79,405
616,3.321999999999994,0,500,0.0,0.0,236,75,18,390
617,63.65199999999987,2,500,0.25,0.0,281,54,58,489
618,-0.6339999999999429,0,500,0.0,0.0,351,67,10,168
619,-2.9080000000000057,0,500,0.0,0.0,350,23,76,311
620,-5.804000000000008,0,500,0.0,0.0,248,12,66,234
621,-0.1480000000000034,0,500,0.0,0.0,187,74,5,351
622,125.8619999999997,4,500,0.5,0.0,264,33,67,407
623,130.84200000000084,4,500,0.5,0.0,244,31,54,437
624,2.754000000000023,0,500,0.0,0.0,346,80,32,321
625,-9.703999999999988,0,500,0.0,0.0,295,18,38,222
626,-8.012000000000022,0,500,0.0,0.0,234,25,45,230
627,11.881999999999996,0,500,0.0,0.0,259,74,57,573
628,3.049999999999998,0,500,0.0,0.0,253,40,66,381
629,5.912000000000004,0,500,0.0,0.0,371,55,40,442
630,11.162000000000022,0,500,0.0,0.0,249,55,22,404
631,24.19400000000027,1,500,0.125,0.0,139,16,39,182
632,4.3,0,500,0.0,0.0,500,63,72,410
633,14.722000000000028,0,500,0.0,0.0,69,33,40,550
634,32.971999999999966,1,500,0.125,0.0,506,62,67,391
635,1.6559999999999961,0,500,0.0,0.0,234,78,27,371
636,11.758000000000036,0,500,0.0,0.0,273,70,59,487
637,-7.270000000000012,0,500,0.0,0.0,104,24,20,199
638,-11.049999999999953,0,500,0.0,0.0,91,7,20,97
639,5.562000000000054,0,500,0.0,0.0,245,61,43,421
640,8.800000000000036,0,500,0.0,0.0,117,76,14,415
641,9.51200000000007,0,500,0.0,0.0,164,69,19,440
642,10.456000000000007,0,500,0.0,0.0,205,60,53,559
643,-11.797999999999934,0,500,0.0,0.0,50,5,16,78
644,-8.268000000000002,0,500,0.0,0.0,126,28,22,242
645,27.808000000000092,1,500,0.125,0.0,340,43,45,261
646,-11.31999999999997,0,500,0.0,0.0,209,31,33,189
647,3.4280000000000044,0,500,0.0,0.0,292,63,34,360
648,-4.750000000000014,0,500,0.0,0.0,183,28,28,240
649,5.368000000000033,0,500,0.0,0.0,358,60,44,362
650,-8.398000000000007,0,500,0.0,0.0,310,32,64,238
651,-3.6640000000000117,0,500,0.0,0.0,282,37,67,384
652,-7.4700000000000095,0,500,0.0,0.0,331,16,61,212
653,-8.326000000000016,0,500,0.0,0.0,385,20,60,259
654,0.6540000000000079,0,500,0.0,0.0,126,18,61,343
655,1.9139999999999922,0,500,0.0,0.0,490,78,54,391
656,23.056000000000065,1,500,0.125,0.0,185,45,21,247
657,27.87200000000001,1,500,0.125,0.0,247,58,54,419
658,-9.613999999999978,0,500,0.0,0.0,26,4,11,56
659,8.762000000000032,0,500,0.0,0.0,368,58,62,461
660,3.2240000000000064,0,500,0.0,0.0,256,57,55,496
661,28.248000000000122,1,500,0.125,0.0,518,79,60,357
662,-2.6260000000000097,0,500,0.0,0.0,283,69,16,296
663,-4.297999999999899,0,500,0.0,0.0,27,3,0,60
664,-5.435999999999959,0,500,0.0,0.0,103,14,10,93
665,4.1560000000000015,0,500,0.0,0.0,293,55,62,451
666,-5.965999999999993,0,500,0.0,0.0,97,28,11,118
