episodio,recompensa,entregas,steps,taxa_sucesso,colisoes,falha_r1,falha_r2,distancia_percorrida
1198,315.89999999999975,8,50,1.0,8,6,8,52
1199,313.83999999999986,8,143,1.0,17,19,10,131
1200,314.76499999999896,8,103,1.0,4,13,9,97
1201,316.25999999999976,8,43,1.0,1,2,5,37
1202,314.89999999999935,8,74,1.0,4,6,7,55
1203,315.60999999999996,8,48,1.0,7,5,10,55
1204,313.78999999999974,8,97,1.0,7,12,8,74
1205,314.3999999999999,8,94,1.0,30,9,9,81
1206,304.4649999999991,8,363,1.0,55,36,17,216
1207,315.5949999999999,8,66,1.0,3,8,2,49
1208,309.69499999999704,8,234,1.0,9,15,12,112
1209,315.15,8,98,1.0,26,14,11,109
1210,310.3299999999998,8,198,1.0,53,23,22,171
1211,309.6200000000008,8,220,1.0,80,12,19,111
1212,314.2449999999999,8,89,1.0,26,13,15,97
1213,314.5949999999999,8,83,1.0,24,9,10,78
1214,309.79999999999774,8,294,1.0,85,21,31,242
1215,308.27499999999986,8,258,1.0,14,24,18,157
1216,313.3099999999995,8,96,1.0,9,5,12,61
1217,314.8199999999997,8,63,1.0,8,6,12,59
1218,315.6399999999993,8,75,1.0,16,2,3,37
1219,301.5200000000002,8,289,1.0,139,31,38,201
1220,315.9599999999999,8,58,1.0,8,11,2,59
1221,314.26999999999975,8,86,1.0,20,15,6,69
1222,300.3800000000018,8,439,1.0,84,32,27,203
1223,295.77500000000043,8,468,1.0,138,43,12,176
1224,315.5299999999993,8,80,1.0,6,5,2,49
1225,314.0349999999993,8,104,1.0,3,5,9,59
1226,315.645,8,70,1.0,14,7,5,57
1227,307.7099999999976,8,283,1.0,84,9,33,152
1228,303.90000000000134,8,335,1.0,180,50,8,176
1229,314.59999999999997,8,89,1.0,18,13,5,68
1230,310.83500000000015,8,186,1.0,51,24,17,164
1231,316.87999999999994,8,33,1.0,0,4,3,37
1232,310.32999999999913,8,265,1.0,45,33,15,218
1233,309.59499999999844,8,212,1.0,40,36,10,165
1234,311.9350000000004,8,169,1.0,34,21,5,101
1235,169.57000000000272,7,500,0.875,87,29,16,149
1236,314.91999999999985,8,74,1.0,9,10,13,83
1237,314.3199999999997,8,89,1.0,42,13,5,60
1238,315.51999999999964,8,55,1.0,11,11,7,60
1239,316.4799999999999,8,38,1.0,13,4,5,39
1240,316.29499999999973,8,66,1.0,8,9,5,71
1241,33.46999999999795,2,500,0.25,192,64,42,300
1242,314.1300000000002,8,107,1.0,19,10,6,62
1243,314.50499999999965,8,94,1.0,23,8,15,86
1244,31.380000000000297,2,500,0.25,186,59,27,254
1245,2.0700000000002383,1,500,0.125,169,73,10,217
1246,315.82499999999993,8,53,1.0,7,8,5,50
1247,313.8699999999999,8,93,1.0,30,7,10,68
1248,61.90000000000156,3,500,0.375,91,25,40,221
1249,306.625,8,182,1.0,69,14,20,107
1250,315.44500000000005,8,48,1.0,18,9,6,48
1251,315.0649999999998,8,59,1.0,22,10,8,57
1252,316.17499999999995,8,45,1.0,5,5,6,52
1253,314.3349999999996,8,95,1.0,10,16,6,83
1254,316.2199999999997,8,45,1.0,13,7,3,40
1255,314.41499999999996,8,62,1.0,16,10,14,73
1256,316.15499999999986,8,44,1.0,10,7,7,51
1257,312.36500000000046,8,151,1.0,67,14,10,91
1258,32.63499999999781,2,500,0.25,182,80,19,286
1259,2.810000000000243,1,500,0.125,156,47,26,211
1260,316.2449999999997,8,48,1.0,1,10,3,54
1261,311.6249999999976,8,184,1.0,27,15,6,92
1262,314.88999999999976,8,64,1.0,19,11,9,70
1263,316.8199999999998,8,48,1.0,7,4,5,57
1264,314.6799999999998,8,74,1.0,23,11,11,70
1265,316.09000000000003,8,43,1.0,2,10,3,57
1266,307.6949999999995,8,188,1.0,61,16,13,88
1267,314.0699999999997,8,106,1.0,15,19,6,97
1268,304.99000000000024,8,370,1.0,96,53,9,224
1269,315.0499999999997,8,54,1.0,17,10,6,50
1270,316.54999999999995,8,92,1.0,9,10,5,99
1271,316.815,8,32,1.0,2,5,5,43
1272,57.58500000000048,3,500,0.375,73,24,22,133
1273,313.3299999999997,8,109,1.0,58,12,17,93
1274,316.61999999999995,8,43,1.0,2,7,2,51
1275,316.2349999999998,8,59,1.0,8,7,3,55
1276,58.53500000000067,3,500,0.375,129,28,25,186
1277,311.30500000000063,8,140,1.0,9,21,3,75
1278,314.7500000000001,8,81,1.0,19,15,6,77
1279,302.6650000000001,8,279,1.0,66,23,19,139
1280,315.92499999999984,8,56,1.0,23,7,7,59
1281,305.1300000000008,8,314,1.0,146,32,29,193
1282,317.3699999999998,8,36,1.0,1,3,2,39
