episodio,recompensa,entregas,steps,taxa_sucesso,colisoes,falha_r1,falha_r2,distancia_percorrida
1648,-2.894999999999997,0,500,0.0,140,70,66,539
1649,302.7549999999999,8,407,1.0,108,53,62,448
1650,-9.61499999999999,0,500,0.0,169,65,62,504
1651,-7.154999999999987,0,500,0.0,140,66,69,532
1652,-11.294999999999993,0,500,0.0,158,76,71,518
1653,147.49500000000018,6,500,0.75,146,66,63,496
1654,-11.774999999999997,0,500,0.0,105,79,75,551
1655,304.3099999999999,8,349,1.0,91,41,53,358
1656,-8.419999999999998,0,500,0.0,135,56,72,546
1657,48.845,2,500,0.25,123,62,61,537
1658,306.1199999999998,8,371,1.0,95,48,45,395
1659,-3.884999999999999,0,500,0.0,176,72,59,488
1660,-13.979999999999983,0,500,0.0,113,63,68,545
1661,-5.469999999999994,0,500,0.0,157,78,64,501
1662,147.78499999999997,6,500,0.75,141,58,62,545
1663,13.370000000000003,1,500,0.125,174,61,52,491
1664,-1.7349999999999988,0,500,0.0,125,62,67,536
1665,-4.529999999999996,0,500,0.0,123,55,64,499
1666,170.41999999999976,7,500,0.875,158,67,64,497
1667,296.6249999999997,8,413,1.0,133,54,56,402
1668,-1.6449999999999947,0,500,0.0,113,51,81,551
1669,8.615000000000038,1,500,0.125,164,68,67,486
1670,91.22999999999979,4,500,0.5,170,62,63,481
1671,60.369999999999756,3,500,0.375,131,74,58,529
1672,303.4800000000001,8,412,1.0,107,47,50,451
1673,298.9349999999997,8,399,1.0,110,54,49,430
1674,-0.05499999999999831,0,500,0.0,109,73,53,552
1675,118.3249999999999,5,500,0.625,158,77,61,522
1676,-5.2599999999999945,0,500,0.0,139,53,72,501
1677,46.599999999999994,2,500,0.25,133,63,70,526
1678,147.79,6,500,0.75,152,72,57,526
1679,119.86999999999992,5,500,0.625,151,81,68,529
1680,66.44500000000004,3,500,0.375,181,68,70,503
1681,144.77499999999986,6,500,0.75,126,71,75,534
1682,120.90999999999964,5,500,0.625,132,61,71,524
1683,118.17499999999967,5,500,0.625,180,63,60,492
1684,-2.769999999999996,0,500,0.0,113,64,69,551
1685,-14.574999999999982,0,500,0.0,141,69,59,517
1686,73.28499999999998,3,500,0.375,149,61,64,543
1687,119.9249999999997,5,500,0.625,168,70,64,511
1688,-4.149999999999998,0,500,0.0,107,75,71,554
1689,-10.43999999999999,0,500,0.0,159,64,61,500
1690,-10.285,0,500,0.0,117,78,52,531
1691,-3.0149999999999926,0,500,0.0,111,71,69,561
1692,119.41999999999952,5,500,0.625,170,64,58,485
1693,-5.184999999999997,0,500,0.0,97,69,67,564
1694,-10.825,0,500,0.0,115,75,70,570
1695,-4.21,0,500,0.0,139,57,65,554
1696,147.5049999999996,6,500,0.75,106,67,75,560
1697,292.4799999999998,8,431,1.0,100,62,63,483
1698,169.60999999999996,7,500,0.875,128,70,70,500
1699,174.0300000000002,7,500,0.875,130,64,56,512
1700,312.57499999999993,8,145,1.0,23,24,19,172
1701,-5.619999999999995,0,500,0.0,131,61,74,551
1702,301.53999999999996,8,412,1.0,145,54,54,412
1703,-9.049999999999999,0,500,0.0,139,62,51,521
1704,170.97000000000006,7,500,0.875,119,68,72,532
1705,287.1599999999998,8,480,1.0,135,73,63,498
1706,38.96500000000017,2,500,0.25,129,48,57,535
1707,295.75,8,458,1.0,109,56,56,528
1708,-5.6499999999999995,0,500,0.0,144,61,61,512
1709,39.760000000000055,2,500,0.25,132,74,58,534
1710,51.84000000000003,2,500,0.25,116,57,56,547
1711,118.8,5,500,0.625,128,67,90,558
1712,40.39500000000001,2,500,0.25,120,67,81,541
1713,304.625,8,332,1.0,89,43,59,365
1714,71.05999999999989,3,500,0.375,151,72,60,522
1715,-7.044999999999999,0,500,0.0,171,56,69,490
1716,-3.174999999999985,0,500,0.0,139,62,71,530
1717,168.89000000000001,7,500,0.875,117,72,78,561
1718,44.730000000000004,2,500,0.25,163,69,63,498
1719,139.21000000000012,6,500,0.75,168,67,60,531
1720,-5.049999999999994,0,500,0.0,147,57,69,503
1721,61.90999999999964,3,500,0.375,163,76,57,499
1722,170.50000000000003,7,500,0.875,171,69,58,501
1723,304.4399999999999,8,337,1.0,94,35,51,338
1724,-6.039999999999998,0,500,0.0,111,81,71,544
1725,-15.794999999999995,0,500,0.0,129,62,63,485
1726,145.82499999999985,6,500,0.75,121,72,64,545
1727,300.44,8,434,1.0,103,62,58,486
1728,-3.414999999999994,0,500,0.0,125,76,70,543
1729,-2.6899999999999933,0,500,0.0,150,67,59,536
1730,64.67999999999996,3,500,0.375,119,65,69,525
1731,-3.6649999999999863,0,500,0.0,111,55,64,560
1732,145.14499999999964,6,500,0.75,158,68,66,517
1733,14.910000000000007,1,500,0.125,140,80,82,544
1734,147.99999999999972,6,500,0.75,147,69,76,557
1735,-0.8649999999999914,0,500,0.0,105,62,54,549
1736,-4.139999999999996,0,500,0.0,134,66,66,530
1737,122.7399999999996,5,500,0.625,107,68,74,549
1738,147.53999999999994,6,500,0.75,129,52,70,526
1739,174.2799999999999,7,500,0.875,160,62,56,514
1740,-4.934999999999994,0,500,0.0,119,74,73,562
1741,69.98500000000001,3,500,0.375,128,66,57,524
1742,74.585,3,500,0.375,98,55,66,546
1743,177.3999999999999,7,500,0.875,131,57,61,555
1744,145.7600000000001,6,500,0.75,149,72,65,523
1745,119.36999999999948,5,500,0.625,162,59,83,516
1746,172.815,7,500,0.875,139,63,67,525
1747,70.87000000000012,3,500,0.375,144,67,69,511
1748,-5.004999999999996,0,500,0.0,122,69,77,534
1749,119.0599999999997,5,500,0.625,122,77,75,536
1750,174.2099999999997,7,500,0.875,107,74,68,571
1751,140.55999999999935,6,500,0.75,172,64,69,503
1752,142.10499999999988,6,500,0.75,165,69,62,485
1753,0.17000000000000978,0,500,0.0,118,64,74,550
1754,146.60499999999968,6,500,0.75,146,60,76,532
1755,173.1450000000002,7,500,0.875,161,69,53,475
