episodio,recompensa,entregas,steps,taxa_sucesso,colisoes,falha_r1,falha_r2
482,-24.330000000000044,0,500,0.0,115,5,24
483,-11.614999999999972,0,500,0.0,168,2,99
484,-24.964999999999932,0,500,0.0,149,9,54
485,-5.684999999999988,0,500,0.0,251,102,99
486,-11.349999999999978,0,500,0.0,439,86,92
487,-7.659999999999991,0,500,0.0,347,87,101
488,-11.679999999999994,0,500,0.0,177,45,84
489,-4.920000000000007,0,500,0.0,313,89,53
490,-10.345000000000018,0,500,0.0,208,55,63
491,-11.059999999999995,0,500,0.0,153,29,48
492,-26.62500000000007,0,500,0.0,31,16,10
493,-27.24999999999988,0,500,0.0,228,37,86
494,-26.64000000000008,0,500,0.0,85,25,10
495,-16.529999999999962,0,500,0.0,182,111,49
496,-26.490000000000087,0,500,0.0,6,4,3
497,-6.849999999999999,0,500,0.0,85,92,86
498,-7.789999999999997,0,500,0.0,102,117,77
499,-18.154999999999937,0,500,0.0,267,39,93
500,-10.365000000000002,0,500,0.0,204,88,82
501,-21.35500000000007,0,500,0.0,40,28,11
502,-19.17999999999993,0,500,0.0,17,69,16
503,-12.555000000000033,0,500,0.0,86,52,48
504,-14.489999999999975,0,500,0.0,158,44,69
505,-23.805000000000074,0,500,0.0,14,20,3
506,-11.560000000000032,0,500,0.0,48,16,9
507,-23.225000000000065,0,500,0.0,53,13,10
508,-27.295000000000012,0,500,0.0,268,93,21
509,-11.005000000000027,0,500,0.0,58,25,11
510,-1.7899999999999967,0,500,0.0,66,48,44
511,-20.880000000000045,0,500,0.0,79,5,21
512,-0.989999999999997,0,500,0.0,181,81,84
513,-22.47999999999998,0,500,0.0,32,16,23
514,-10.61500000000001,0,500,0.0,120,40,60
515,-15.074999999999985,0,500,0.0,20,52,5
516,1.8900000000000052,0,500,0.0,4,93,40
517,-5.990000000000009,0,500,0.0,63,77,68
518,-15.334999999999841,0,500,0.0,36,18,17
519,-7.474999999999987,0,500,0.0,91,65,82
520,-0.9799999999999952,0,500,0.0,160,51,84
521,1.3800000000000112,0,500,0.0,124,80,48
522,-3.814999999999993,0,500,0.0,250,92,83
523,-1.8199999999999834,0,500,0.0,98,76,52
524,-1.4949999999999957,0,500,0.0,138,103,91
525,-5.719999999999985,0,500,0.0,205,80,87
526,-15.325000000000047,0,500,0.0,209,67,69
527,-11.959999999999855,0,500,0.0,17,16,22
528,112.4199999999994,5,500,0.625,46,54,55
529,-16.124999999999957,0,500,0.0,144,84,22
530,-12.704999999999945,0,500,0.0,73,40,32
531,-10.230000000000013,0,500,0.0,134,62,54
532,-12.554999999999886,0,500,0.0,4,5,43
533,-31.3050000000001,0,500,0.0,35,35,13
534,-27.150000000000087,0,500,0.0,18,11,11
535,-33.65500000000008,0,500,0.0,197,61,8
536,-9.735000000000005,0,500,0.0,321,86,52
537,-19.220000000000017,0,500,0.0,224,57,49
538,-6.394999999999978,0,500,0.0,195,71,67
539,-3.3599999999999905,0,500,0.0,62,77,55
540,-15.225000000000021,0,500,0.0,85,35,25
541,-8.699999999999992,0,500,0.0,85,5,72
542,-9.45500000000001,0,500,0.0,115,61,30
543,-31.900000000000006,0,500,0.0,224,58,27
544,-10.325000000000006,0,500,0.0,91,42,82
545,-4.154999999999998,0,500,0.0,25,30,24
546,-12.809999999999958,0,500,0.0,32,46,33
547,-24.85500000000007,0,500,0.0,14,10,12
548,-12.330000000000027,0,500,0.0,296,94,76
549,-8.334999999999987,0,500,0.0,31,39,5
550,-17.169999999999973,0,500,0.0,47,17,66
551,-12.974999999999962,0,500,0.0,78,24,35
552,-30.980000000000025,0,500,0.0,234,81,17
553,-22.57000000000004,0,500,0.0,210,76,7
554,-20.91500000000002,0,500,0.0,122,63,22
555,-8.00999999999998,0,500,0.0,182,89,77
556,-19.229999999999958,0,500,0.0,166,106,17
557,-16.26000000000005,0,500,0.0,7,15,8
558,-20.765000000000057,0,500,0.0,107,40,16
559,-17.510000000000016,0,500,0.0,93,45,9
